   h    k    l      d(Å)      F(real)      F(imag)          |F|         2θ          I    M
   2   13    0   1.703488     4.954105     0.037075      4.95424   53.81381    0.00610    4
   0   16    3   1.700150    18.163145     0.092676      18.1634   53.92799    0.08153    4
   0    8    5   1.698922     3.616053     0.006312      3.61606   53.97013    0.00323    4
   2    7   -4   1.695013  -100.551924    -0.404500      100.553   54.10475    2.48026    4
   2   12    1   1.693587     2.839013     0.033524      2.83921   54.15404    0.00197    4
   1   17   -2   1.690707   -10.434125    -0.043104      10.4342   54.25382    0.02654    4
   1   16    2   1.687402     7.714845     0.037533      7.71494   54.36885    0.01444    4
   2    4    3   1.687375     2.364252     0.064596      2.36513   54.36980    0.00136    4
   1    8   -5   1.686460   -14.823565    -0.115301       14.824   54.40174    0.05324    4
   2   11   -3   1.683586   -29.178608    -0.121216      29.1789   54.50227    0.20541    4
   0   18    2   1.682156    -0.328905     0.015890     0.329289   54.55245    0.00003    4
   1   18    0   1.681398     0.676155    -0.054164     0.678321   54.57911    0.00011    4
   0   19    1   1.680123    -1.062649    -0.008722      1.06268   54.62397    0.00027    4
   1   10    4   1.674731    13.879999     0.070955      13.8802   54.81458    0.04588    4
   1   13   -4   1.674484     3.850706    -0.043300      3.85095   54.82335    0.00353    4
   1   18   -1   1.673727    20.587432     0.025056      20.5874   54.85021    0.10079    4
   2   10    2   1.672488   -31.453830    -0.138503      31.4541   54.89428    0.23483    4
   2   13   -2   1.672242     8.685881     0.055058      8.68606   54.90304    0.01790    4
   1   14    3   1.667731     7.344393     0.049336      7.34456   55.06412    0.01271    4
   2    5    3   1.667211    -9.541798    -0.056973      9.54197   55.08275    0.02144    4
   2    8   -4   1.661357    42.410417     0.148135      42.4107   55.29342    0.41995    4
   0    9    5   1.660671     2.922801    -0.013215      2.92283   55.31821    0.00199    4
   2   14   -1   1.654491     4.485132     0.050486      4.48542   55.54266    0.00465    4
   1   16   -3   1.649674   -16.378563    -0.066741      16.3787   55.71891    0.06155    4
   1    9   -5   1.649026    -7.691665    -0.050706      7.69183   55.74274    0.01356    4
   0   14    4   1.646282   -34.995892    -0.173943      34.9963   55.84376    0.27959    4
   2    6    3   1.643520    15.199503     0.110670      15.1999   55.94583    0.05252    4
   2   14    0   1.643443     1.606627    -0.009911      1.60666   55.94870    0.00059    4
   2   13    1   1.638710    13.243490     0.092269      13.2438   56.12455    0.03959    4
   1   18    1   1.636654    -5.414129    -0.055374      5.41441   56.20133    0.00660    4
   1    1    5   1.636165     3.299431     0.012188      3.29945   56.21960    0.00245    4
   2   12   -3   1.633772    -5.049950    -0.023276         5.05   56.30929    0.00571    4
   1    2    5   1.629961   -27.160470    -0.212483      27.1613   56.45271    0.16432    4
   1   11    4   1.629771     4.789117     0.004183      4.78912   56.45989    0.00511    4
   0   17    3   1.628011     3.234659     0.023502      3.23474   56.52639    0.00232    4
   2   11    2   1.627704    11.024008    -0.032401      11.0241   56.53804    0.02698    4
   2    9   -4   1.625535   -30.653830    -0.137023      30.6541   56.62028    0.20790    4
